Year,Series,Source,Value
2023,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,22.77
2017,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,67
2018,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,65
2019,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,72
2020,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,60
2021,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,68.04
2022,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,73.39
2023,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,61.98
2017,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,5
2018,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,6
2019,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,6
2020,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,11
2021,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,6.42
2022,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,2.62
2023,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,4.4
2017,"3. Percentage shares of total electricity imported via the Interconnector, by source",Others,5
2018,"3. Percentage shares of total electricity imported via the Interconnector, by source",Others,5
2019,"3. Percentage shares of total electricity imported via the Interconnector, by source",Others,5
2020,"3. Percentage shares of total electricity imported via the Interconnector, by source",Others,2
2021,"3. Percentage shares of total electricity imported via the Interconnector, by source",Others,1.79
2022,"3. Percentage shares of total electricity imported via the Interconnector, by source",Others,2.73
2023,"3. Percentage shares of total electricity imported via the Interconnector, by source",Others,3.57
2017,"3. Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,2
2018,"3. Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,4
2019,"3. Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,3
2020,"3. Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,10
2021,"3. Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,10.81
2022,"3. Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,9.04
2023,"3. Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,7.28
2018,"4. Percentage shares of power plants' sources, by source",Natural Gas,99.43
2019,"4. Percentage shares of power plants' sources, by source",Natural Gas,98.76
2020,"4. Percentage shares of power plants' sources, by source",Natural Gas,97.19
2021,"4. Percentage shares of power plants' sources, by source",Natural Gas,97.73
2022,"4. Percentage shares of power plants' sources, by source",Natural Gas,97.11
2023,"4. Percentage shares of power plants' sources, by source",Natural Gas,99.17
2018,"4. Percentage shares of power plants' sources, by source",Oil,0.57
2019,"4. Percentage shares of power plants' sources, by source",Oil,1.24
2020,"4. Percentage shares of power plants' sources, by source",Oil,2.81
2021,"4. Percentage shares of power plants' sources, by source",Oil,2.27
2022,"4. Percentage shares of power plants' sources, by source",Oil,2.89
2023,"4. Percentage shares of power plants' sources, by source",Oil,0.83
