Year,Series,Education level,Type of skill,Age,Value
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.6
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.3
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.7
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.6
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.7
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.5
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1.1
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.6
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1.1
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.5
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.7
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1.1
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.8
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.5
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,1
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.9
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.7
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,All Skills,All Ages,0.7
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.1
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.2
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.4
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.1
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.3
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.1
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.1
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.3
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.2
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.1
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.2
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.3
2017,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.1
2017,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.2
2017,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2017,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2018,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1
2018,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2018,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.3
2018,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.3
2019,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.4
2019,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.2
2019,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.1
2019,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2020,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-24,1.1
2020,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,15-64,1.2
2020,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,25-54,1.3
2020,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),All Education Levels,All Skills,55-64,1.2
2011,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2012,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2013,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2014,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2015,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2016,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2017,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2018,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2019,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,0.9
2020,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)",All Education Levels,All Skills,All Ages,1
2011,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,0.8
2011,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in reading,All Ages,0.8
2015,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,0.8
2016,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in reading,All Ages,0.5
2018,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,0.7
2019,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,0.9
2015,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,1
2018,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,1
2019,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,1
2011,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in reading,All Ages,1.1
2011,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,1
2015,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,1.2
2016,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in reading,All Ages,1.1
2018,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,1.3
2019,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,1
2011,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in reading,All Ages,1.3
2011,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,1.4
2011,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in reading,All Ages,0.7
2011,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,0.7
2015,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,0.6
2016,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in reading,All Ages,0.9
2018,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Lower secondary,Skill: Minimun proficiency in reading,All Ages,0.6
2019,Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio),Primary,Skill: Minimun proficiency in mathematics,All Ages,0.6
